city,state_slug,region,ranking,GDP_per_capita,population
Presidente Kennedy (ES),ES,Sudeste,1º,464883.48701892083,11574
Ilhabela (SP),SP,Sudeste,2º,428020.22118974023,34970
Selvíria (MS),MS,Centro-Oeste,3º,353522.2977298448,6529
Paulínia (SP),SP,Sudeste,4º,341552.8176613754,109424
Louveira (SP),SP,Sudeste,5º,328612.48550766846,48885
São Gonçalo do Rio Abaixo (MG),MG,Sudeste,6º,313034.9950980711,10920
Sales Oliveira (SP),SP,Sudeste,7º,308567.3569710002,11890
Canaã dos Carajás (PA),PA,Norte,8º,288812.0581187741,37085
Iracemápolis (SP),SP,Sudeste,9º,286384.26633384795,24235
Triunfo (RS),RS,Sul,10º,283449.62051093753,29538
Extrema (MG),MG,Sudeste,11º,279824.0155834227,36225
Vitória do Xingu (PA),PA,Norte,12º,267676.58406926197,15134
Cajamar (SP),SP,Sudeste,13º,252959.85151029562,76801
Jeceaba (MG),MG,Sudeste,14º,249366.02526387,4912
Queiroz (SP),SP,Sudeste,15º,245702.58994419366,3406
Maricá (RJ),RJ,Sudeste,16º,232761.1546667521,161207
Gavião Peixoto (SP),SP,Sudeste,17º,225346.37734310052,4789
São João da Barra (RJ),RJ,Sudeste,18º,220707.3701548148,36102
Conceição do Mato Dentro (MG),MG,Sudeste,19º,220226.36146538384,17842
Jaguariúna (SP),SP,Sudeste,20º,214806.49050650347,57488
São Francisco do Conde (BA),BA,Nordeste,21º,210629.40205898086,39802
Catas Altas (MG),MG,Sudeste,22º,205288.40419847047,5376
Davinópolis (GO),GO,Centro-Oeste,23º,203973.4541350087,2094
Araporã (MG),MG,Sudeste,24º,200429.55632097885,6869
Campos de Júlio (MT),MT,Centro-Oeste,25º,193805.4613303053,6891
Confins (MG),MG,Sudeste,26º,193407.74136451609,6730
Piratuba (SC),SC,Sul,27º,193096.3851378137,3854
Barueri (SP),SP,Sudeste,28º,192647.6130446383,274182
Pinhal Grande (RS),RS,Sul,29º,174832.75919549866,4350
Saudade do Iguaçu (PR),PR,Sul,30º,161582.88466703575,5500
Aratiba (RS),RS,Sul,31º,161053.92574903741,6235
Itatiaiuçu (MG),MG,Sudeste,32º,157352.86593545787,11146
Quissamã (RJ),RJ,Sudeste,33º,154726.99425850995,24700
Araçariguama (SP),SP,Sudeste,34º,153904.22177110417,22364
Santa Rita do Trivelato (MT),MT,Centro-Oeste,35º,150426.3020659876,3429
Alto Horizonte (GO),GO,Centro-Oeste,36º,147295.52704619576,6414
Tasso Fragoso (MA),MA,Nordeste,37º,141680.4594597904,8521
Itatiaia (RJ),RJ,Sudeste,38º,140696.25431546578,31805
Itapemirim (ES),ES,Sudeste,39º,140287.91331156323,34348
Chapadão do Céu (GO),GO,Centro-Oeste,40º,139625.69784318306,10167
Marataízes (ES),ES,Sudeste,41º,137000.7117313482,38499
Paraíso das Águas (MS),MS,Centro-Oeste,42º,133056.60103149727,5555
Muitos Capões (RS),RS,Sul,43º,132929.96188749457,3162
Ipojuca (PE),PE,Nordeste,44º,132206.1692243603,96204
Ortigueira (PR),PR,Sul,45º,131023.3269125144,22141
Araucária (PR),PR,Sul,46º,130033.86534177349,143843
Itajaí (SC),SC,Sul,47º,128522.06540793825,219536
Santo Antônio dos Lopes (MA),MA,Nordeste,48º,128357.72124131987,14528
São Bento do Norte (RN),RN,Nordeste,49º,128296.88904588243,2747
Goiana (PE),PE,Nordeste,50º,128206.08677247496,79758
Araquari (SC),SC,Sul,51º,127363.80838843621,38129
Cordeirópolis (SP),SP,Sudeste,52º,127035.44079951684,24528
Nova Lima (MG),MG,Sudeste,53º,124987.22645064906,94889
Porto Real (RJ),RJ,Sudeste,54º,123194.68594183082,19683
Vinhedo (SP),SP,Sudeste,55º,122747.29859142087,78728
Perolândia (GO),GO,Centro-Oeste,56º,121220.92147263941,3129
Itupeva (SP),SP,Sudeste,57º,120523.1720486693,61252
Saquarema (RJ),RJ,Sudeste,58º,120175.917413007,89170
Indianópolis (PR),PR,Sul,59º,118889.6316829565,4457
Osasco (SP),SP,Sudeste,60º,117298.81884907058,698418
Capão Bonito do Sul (RS),RS,Sul,61º,115924.05149904768,1654
Roque Gonzales (RS),RS,Sul,62º,115314.65546117527,6847
Alumínio (SP),SP,Sudeste,63º,115258.19772884483,18628
Cubatão (SP),SP,Sudeste,64º,115116.84024386383,130705
Pinhal da Serra (RS),RS,Sul,65º,113542.03489333368,1941
Bodó (RN),RN,Nordeste,66º,113239.44799557212,2223
Ouvidor (GO),GO,Centro-Oeste,67º,112445.1905866149,6667
Jundiaí (SP),SP,Sudeste,68º,112068.21441330381,418962
Diamantino (MT),MT,Centro-Oeste,69º,111197.06195574379,22041
Guamaré (RN),RN,Nordeste,70º,110764.00484621825,15659
Parauapebas (PA),PA,Norte,71º,110604.0959724937,208273
Nova Ubiratã (MT),MT,Centro-Oeste,72º,108284.61490455848,11982
Cabreúva (SP),SP,Sudeste,73º,107046.15911218328,49707
São José da Barra (MG),MG,Sudeste,74º,106626.01271132294,7426
Ouro Branco (MG),MG,Sudeste,75º,105889.65214804396,39500
Tupandi (RS),RS,Sul,76º,102772.99074100202,4855
Boa Vista do Cadeado (RS),RS,Sul,77º,101870.50349259446,2470
Cachoeira Dourada (GO),GO,Centro-Oeste,78º,101674.0632031856,8067
Sapezal (MT),MT,Centro-Oeste,79º,100073.42385784982,25881
Barro Alto (GO),GO,Centro-Oeste,80º,99404.17320098159,11167
Vargem Bonita (SC),SC,Sul,81º,98864.55583189134,4492
Itiquira (MT),MT,Centro-Oeste,82º,96869.10496393857,13345
Campo Novo do Parecis (MT),MT,Centro-Oeste,83º,96181.92032643314,35360
Alhandra (PB),PB,Nordeste,84º,96064.51395093206,19588
Ipiranga do Norte (MT),MT,Centro-Oeste,85º,95783.76978040552,7667
Lagoa do Barro do Piauí (PI),PI,Nordeste,86º,95769.2439592357,4655
Tapira (MG),MG,Sudeste,87º,95435.0554472297,4773
Santa Bárbara do Sul (RS),RS,Sul,88º,95354.13257513884,7994
Porto dos Gaúchos (MT),MT,Centro-Oeste,89º,94500.45907792347,5410
Ilha Comprida (SP),SP,Sudeste,90º,93630.18809565563,11166
Carlos Barbosa (RS),RS,Sul,91º,92970.36626189214,29833
Luís Antônio (SP),SP,Sudeste,92º,92760.77835376683,14947
Antônio Carlos (SC),SC,Sul,93º,92691.1877616692,8513
São José dos Pinhais (PR),PR,Sul,94º,92666.2043437177,323340
Brasília (DF),DF,Centro-Oeste,95º,90742.750387876,3015268
Treze Tílias (SC),SC,Sul,96º,90720.44848230954,7840
Niterói (RJ),RJ,Sudeste,97º,90643.7956494055,513584
Rosana (SP),SP,Sudeste,98º,90579.55774686694,16643
Santana do Mundaú (AL),AL,Nordeste,99º,90473.00435071097,10740
Paraúna (GO),GO,Centro-Oeste,100º,90385.4511961414,10988
